image,resolution,run_id,h2d_ms,kernel_ms,d2h_ms,total_ms
agriculture2.pgm,640x480,10,0.064512,0.065632,0.120768,0.250912
agriculture2.pgm,640x480,11,0.064352,0.06256,0.129824,0.256736
agriculture2.pgm,640x480,12,0.075264,0.064256,0.119936,0.259456
agriculture2.pgm,640x480,13,0.065024,0.062816,0.122592,0.250432
agriculture2.pgm,640x480,14,0.065312,0.062016,0.117888,0.245216
agriculture2.pgm,640x480,15,0.065504,0.064384,0.119104,0.248992
agriculture2.pgm,640x480,16,0.063936,0.061088,0.120352,0.245376
agriculture2.pgm,640x480,17,0.064832,0.06272,0.119328,0.24688
agriculture2.pgm,640x480,18,0.065248,0.066048,0.120928,0.252224
agriculture2.pgm,640x480,19,0.064672,0.061568,0.119616,0.245856
agriculture2.pgm,640x480,20,0.06512,0.063264,0.11824,0.246624
agriculture2.pgm,640x480,21,0.065312,0.063008,0.121568,0.249888
agriculture2.pgm,640x480,22,0.06416,0.061856,0.120096,0.246112
agriculture2.pgm,640x480,23,0.065568,0.065216,0.120768,0.251552
agriculture2.pgm,640x480,24,0.068032,0.062496,0.119776,0.250304
agriculture2.pgm,640x480,25,0.06368,0.062496,0.11824,0.244416
agriculture2.pgm,640x480,26,0.064064,0.065664,0.12176,0.251488
agriculture2.pgm,640x480,27,0.064288,0.064544,0.120128,0.24896
agriculture2.pgm,640x480,28,0.065152,0.06368,0.118336,0.247168
agriculture2.pgm,640x480,29,0.06448,0.064832,0.121472,0.250784
agriculture2.pgm,640x480,30,0.063904,0.11664,0.126816,0.30736
agriculture3.pgm,640x480,1,0.060128,0.086208,0.120896,0.267232
agriculture3.pgm,640x480,2,0.065184,0.063424,0.11968,0.248288
agriculture3.pgm,640x480,3,0.064672,0.066784,0.122016,0.253472
agriculture3.pgm,640x480,4,0.06432,0.06256,0.1192,0.24608
agriculture3.pgm,640x480,5,0.064576,0.064608,0.123584,0.252768
agriculture3.pgm,640x480,6,0.066016,0.061696,0.123712,0.251424
agriculture3.pgm,640x480,7,0.064544,0.062496,0.12016,0.2472
agriculture3.pgm,640x480,8,0.068608,0.072672,0.124608,0.265888
agriculture3.pgm,640x480,9,0.064608,0.062752,0.121728,0.249088
agriculture3.pgm,640x480,10,0.064448,0.063776,0.120576,0.2488
agriculture3.pgm,640x480,11,0.064928,0.26432,0.153088,0.482336
agriculture3.pgm,640x480,12,0.074496,0.06352,0.124512,0.262528
agriculture3.pgm,640x480,13,0.063232,0.076864,0.134688,0.274784
agriculture3.pgm,640x480,14,0.06224,0.145792,0.124352,0.332384
agriculture3.pgm,640x480,15,0.06544,0.147648,0.12752,0.340608
agriculture3.pgm,640x480,16,0.066752,0.06416,0.126112,0.257024
agriculture3.pgm,640x480,17,0.064352,0.344672,0.125376,0.5344
agriculture3.pgm,640x480,18,0.066368,0.065952,0.123552,0.255872
agriculture3.pgm,640x480,19,0.065568,0.062848,0.117856,0.246272
agriculture3.pgm,640x480,20,0.064992,0.06464,0.118528,0.24816
agriculture3.pgm,640x480,21,0.06432,0.06208,0.121856,0.248256
agriculture3.pgm,640x480,22,0.066016,0.062912,0.119584,0.248512
agriculture3.pgm,640x480,23,0.065376,0.065312,0.120672,0.25136
agriculture3.pgm,640x480,24,0.065152,0.061824,0.118976,0.245952
agriculture3.pgm,640x480,25,0.065376,0.063008,0.11712,0.245504
agriculture3.pgm,640x480,26,0.064224,0.065728,0.121824,0.251776
agriculture3.pgm,640x480,27,0.0648,0.063168,0.117568,0.245536
agriculture3.pgm,640x480,28,0.065664,0.065408,0.120032,0.251104
agriculture3.pgm,640x480,29,0.065472,0.06224,0.122368,0.25008
agriculture3.pgm,640x480,30,0.064704,0.062848,0.119424,0.246976
